time,paw,flow,vol,pmus
85.08,8.81939772428332,-0.0239098926895629,-0.00322529820334012,-0.07195983
85.09,8.79597980979722,-0.0157228139915635,-0.00335382061959096,-0.07008477
85.1,8.82363143382361,-0.0207408007674085,-0.00348391728531409,-0.0681754
85.11,8.85032721073568,-0.0315597206406863,-0.00361556344833072,-0.06623497
85.12,8.82803101929341,-0.0282161113120827,-0.00374873048709559,-0.06426681
85.13,8.83256486319836,-0.0268824181348163,-0.00388338594091898,-0.06227427
85.14,8.7622029557293,-0.0152943960226322,-0.00401949352859368,-0.06026077
85.15,8.76934478191372,-0.0142131867076709,-0.0041570132032486,-0.05822973
85.16,8.79246636505444,-0.00444412708180615,-0.00429590119435295,-0.05618463
85.17,8.7649140009195,-0.00932490158117212,-0.00443610991467572,-0.05412897
85.18,8.7621470408113,-0.00920067896340588,-0.00457758844694892,-0.05206625
85.19,8.77644787705643,-0.0131731667506324,-0.00472028220821948,-0.05
85.2,8.76277601680798,-0.0108986640796485,-0.00486413315394745,-0.04793375
85.21,8.81265611419767,-0.0168485286156553,-0.00500907987188386,-0.04587103
85.22,8.84639291772387,-0.0241499832025466,-0.00515505767604182,-0.04381537
85.23,8.81370626511832,-0.03640137964337,-0.00530199871929216,-0.04177027
85.24,8.76293365201568,-0.0279402603522784,-0.00544983209268961,-0.03973923
85.25,8.76555954830452,-0.0240344165826497,-0.00559848392675478,-0.03772573
85.26,8.78788558373807,-0.0264745679984319,-0.00574787754108984,-0.03573319
85.27,8.788873750221,-0.0369869233342142,-0.00589793355804709,-0.03376503
85.28,8.78322988487043,-0.0324297707337821,-0.00604857003954088,-0.0318246
85.29,8.77219875327229,-0.0276333976155055,-0.00619970260979442,-0.02991523
85.3,8.76069060471468,-0.0283401390726034,-0.00635124469077988,-0.02804017
85.31,8.8048418666481,-0.0282737661990125,-0.00650310742324069,-0.02620263
85.32,8.83553447077363,-0.032857611623043,-0.00665520003754482,-0.02440575
85.33,8.8578937443438,-0.0312413846362899,-0.00680742995007739,-0.02265259
85.34,8.86881567128736,-0.0202833901812728,-0.00695970284212232,-0.02094616
85.35,8.83701829848339,-0.0243032253975886,-0.00711192303434783,-0.01928936
85.36,8.85912649117937,-0.0275574673650888,-0.00726399344117225,-0.01768504
85.37,8.93635169121163,-0.0250741308573199,-0.00741581582086945,-0.01613592
85.38,8.87871917115014,-0.0213315148673732,-0.00756729095144967,-0.01464466
85.39,8.82341189545529,-0.0216552743493952,-0.00771831878973017,-0.0132138
85.4,8.84560255365346,-0.0235123655994066,-0.00786879851403478,-0.0118458
85.41,8.857915555233,-0.0317795053702872,-0.00801862915400255,-0.01054297
85.42,8.90585449288072,-0.0308786099104337,-0.00816770931123603,-0.00930756
85.43,8.92111174192474,-0.0353758810947209,-0.00831593747464774,-0.00814168
85.44,8.8469770287785,-0.0367069198703272,-0.00846321225249982,-0.0070473
85.45,8.89155801645481,-0.0392052985836292,-0.00860943251801504,-0.00602631
85.46,8.87387767758358,-0.038555520896633,-0.00875449758730665,-0.00508045
85.47,8.79621963452914,-0.0359929267565505,-0.00889830743498012,-0.00421133
85.48,8.80412966957806,-0.0293757124702481,-0.00904076284342296,-0.00342045
85.49,8.76678883957366,-0.0299874651860757,-0.00918176561188722,-0.00270914
85.5,8.77347489537916,-0.0264461246024882,-0.00932121872701527,-0.00207863
85.51,8.80167765589183,-0.0297999139865162,-0.00945902653285154,-0.00152999
85.52,8.76965770746289,-0.035690754955346,-0.00959509493331264,-0.00106416
85.53,8.79119030684721,-0.031742495541873,-0.0097293315463684,-0.00068193
85.54,8.81017669165793,-0.0357903716429271,-0.0098616458743794,-0.00038397
85.55,8.78998642837448,-0.0314776370022221,-0.00999194950042133,-0.00017078
85.56,8.83107823553457,-0.0336846297352651,-0.0101201935052856,-0
85.57,8.7881729351271,-0.029350626913143,-0.0102462329847722,-0
85.58,8.78215974975447,-0.0222644827972251,-0.0103696775159317,-0.00039426
85.59,8.81529347489508,-0.0166903559657641,-0.010489773156213,-0.00157084
85.6,8.83987828448435,-0.0228230021830325,-0.0106057237145009,-0.00351118
85.61,8.8348253514263,-0.0120089591366381,-0.0107168342709526,-0.00618467
85.62,8.80924077804584,-0.018267067656203,-0.0108223443780545,-0.00954915
85.63,8.75982339003605,-0.0128915659791122,-0.0109214278003185,-0.01355157
85.64,8.80859185342761,-0.00669549945610202,-0.0110132723043192,-0.0181288
85.65,8.81710728497474,-0.00603244646494059,-0.0110970866942762,-0.02320866
85.66,8.81974534841291,-0.000197697685261605,-0.0111722870010634,-0.02871104
85.67,8.83801773196169,0.00215248739231708,-0.011238512600887,-0.03454915
85.68,8.86799874350677,-0.000216953610230464,-0.0112951261904308,-0.04063093
85.69,8.92260818365484,0.000423618139882956,-0.0113421613122554,-0.04686047
85.7,8.90360562583548,-0.00722223808705839,-0.0113797541855237,-0.05313953
85.71,8.86301287291188,-0.00797810509621909,-0.0114081136615582,-0.05936907
85.72,8.84842422238455,-0.00630441841325929,-0.0114277085520894,-0.06545085
85.73,8.8589806510826,-0.00950762645792838,-0.0114391779405835,-0.07128896
85.74,8.80910487041323,-0.00369111695095397,-0.0114434274511211,-0.07679134
85.75,8.78270589168868,-0.0120011378539946,-0.0114415744326364,-0.0818712
85.76,8.75167256595631,-0.00815163508290842,-0.0114348232808285,-0.08644843
85.77,8.7660375999773,0.00156798901306098,-0.0114248760942511,-0.09045085
85.78,8.7499461003899,-0.0039655941668126,-0.0114129811580143,-0.09381533
85.79,8.77187388919535,-0.00993993398972485,-0.0114003204757256,-0.09648882
85.8,8.7451231244651,-0.0103550358009807,-0.0113880204928132,-0.09842916
85.81,8.76191399393728,-0.0247761495323138,-0.0113768661873032,-0.09960574
85.82,8.77758241789149,-0.0151888049764178,-0.0113672329116055,-0.09994818
85.83,8.7926143571394,-0.018574223406907,-0.0113593140616834,-0.1
85.84,8.80314344964153,-0.0181780174613506,-0.0113523487094087,-0.09994818
85.85,8.76917720654707,-0.0116427810166771,-0.011346061061136,-0.09979284
85.86,8.71762993979638,-0.000991877984408233,-0.0113403334060446,-0.0995343
85.87,8.68699585675582,0.00654419787327902,-0.0113351623803896,-0.09917309
